gt_type,scram_cond,stim_num,run,subject,lag,kappa
periodic,2B,1,1,34,0,-0.05449591280653965
periodic,2B,1,1,35,0,-0.07707129094412335
periodic,2B,1,1,36,0,-0.07276507276507282
periodic,2B,1,1,37,0,0.02961918194640334
periodic,2B,1,1,38,0,-0.09167842031029627
periodic,2B,1,1,39,0,-0.01976284584980248
periodic,2B,1,1,40,0,-0.0455927051671734
periodic,2B,1,1,41,0,-0.0455927051671734
periodic,2B,1,1,42,0,-0.08688783570300163
periodic,2B,1,1,0,1,0.006153846153846176
periodic,2B,1,1,1,1,0.2272727272727273
periodic,2B,1,1,2,1,-0.05517241379310356
periodic,2B,1,1,3,1,-0.03478260869565197
periodic,2B,1,1,4,1,0.16603773584905668
periodic,2B,1,1,5,1,0.12571428571428578
periodic,2B,1,1,6,1,-0.0736842105263158
periodic,2B,1,1,7,1,-0.0851063829787233
periodic,2B,1,1,8,1,0.15000000000000002
periodic,2B,1,1,9,1,-0.04615384615384621
periodic,2B,1,1,10,1,-0.09285714285714297
periodic,2B,1,1,11,1,0.0
periodic,2B,1,1,12,1,0.0
periodic,2B,1,1,13,1,-0.020000000000000018
periodic,2B,1,1,14,1,-0.10270270270270276
periodic,2B,1,1,15,1,0.05957446808510647
periodic,2B,1,1,16,1,-0.04615384615384621
periodic,2B,1,1,17,1,0.15000000000000002
periodic,2B,1,1,18,1,-0.08799999999999986
periodic,2B,1,1,19,1,-0.07804878048780495
periodic,2B,1,1,20,1,-0.08181818181818179
periodic,2B,1,1,21,1,-0.0736842105263158
periodic,2B,1,1,22,1,0.0
periodic,2B,1,1,23,1,-0.08799999999999986
periodic,2B,1,1,24,1,0.08780487804878045
periodic,2B,1,1,25,1,-0.03478260869565197
periodic,2B,1,1,26,1,0.0
periodic,2B,1,1,27,1,0.08780487804878045
periodic,2B,1,1,28,1,0.18400000000000005
periodic,2B,1,1,29,1,-0.0625
periodic,2B,1,1,30,1,0.17931034482758623
periodic,2B,1,1,31,1,-0.04615384615384621
periodic,2B,1,1,32,1,-0.03478260869565197
periodic,2B,1,1,33,1,0.02857142857142847
periodic,2B,1,1,34,1,-0.05517241379310356
periodic,2B,1,1,35,1,-0.07804878048780495
periodic,2B,1,1,36,1,-0.0736842105263158
periodic,2B,1,1,37,1,0.02857142857142847
periodic,2B,1,1,38,1,0.27142857142857135
periodic,2B,1,1,39,1,-0.020000000000000018
periodic,2B,1,1,40,1,-0.03478260869565197
periodic,2B,1,1,41,1,-0.04615384615384621
periodic,2B,1,1,42,1,0.04800000000000004
periodic,2B,1,1,0,2,-0.09975062344139651
periodic,2B,1,1,1,2,-0.0828729281767957
periodic,2B,1,1,2,2,-0.05586592178770955
periodic,2B,1,1,3,2,-0.035211267605633756
periodic,2B,1,1,4,2,0.03669724770642213
periodic,2B,1,1,5,2,-0.06944444444444442
periodic,2B,1,1,6,2,0.10447761194029848
periodic,2B,1,1,7,2,0.20344827586206904
periodic,2B,1,1,8,2,-0.06329113924050622
periodic,2B,1,1,9,2,-0.04672897196261694
periodic,2B,1,1,10,2,-0.09406657018813314
periodic,2B,1,1,11,2,0.0
periodic,2B,1,1,12,2,0.0
periodic,2B,1,1,13,2,-0.020242914979756943
periodic,2B,1,1,14,2,-0.10405257393209189
