exp_subject_id,scram_cond,stim_num,run,response_vals
377650,intact,2,2,8776;20103;25644;38077;45547;49042;66131;75187
377648,intact,3,1,21787
377648,intact,3,2,18193
377648,8B,2,1,22139;51128
377648,8B,2,2,33582
377648,2B,1,1,19487;52816;59337
377648,2B,1,2,42649;63573
377648,2B,2,1,8313;27635;39387;51460;65150
377648,2B,2,2,9020;51633;65988
377648,1B,3,1,5665;11963;62564;70925
377648,1B,3,2,6137;11609;25989;36203;51958;70065
377648,8B,1,1,19138;37451;54765;68942
377648,8B,1,2,19301;55097;68127
377648,1B,1,1,3588;6493;16113;22786;33267;43594;48518;77024
377648,1B,1,2,3317;6432;16033;22663;33531;41400;58564;75520
377648,2B,3,1,6773;11487;17162;21067;27046;38819;43883;53066;57293;63065
377648,2B,3,2,9331;15166;20795;26496;34764;38688;41591;45953;53798;57161;63241
377648,intact,1,1,34988;66942
377648,intact,1,2,35009;67313
377648,intact,2,1,11686;47322
377648,intact,2,2,38635;49331;66947
377648,1B,2,1,18739;35049;74104
377648,1B,2,2,45547
377648,8B,3,1,65974
377648,8B,3,2,62945
377647,1B,3,1,6440;21462;36258;63883
377647,1B,3,2,19894;32378;49440;74588
377647,intact,1,1,49599;76116
377647,intact,1,2,34795;69682
377647,2B,3,1,14713;20341;30680;53465;60390;64398;73819
377647,2B,3,2,13782;22404;26666;59320;67538
377647,intact,2,1,49805
377647,intact,2,2,11255;13091;49453
377647,8B,3,1,12803;13717;17174;32527;50147;63390;71768
377647,8B,3,2,17057;18718;32829;49465;63377;73546
377647,1B,2,1,13922;16127;28880;31766;46162;63357
377647,1B,2,2,13434;14950;29716;41257;47714;76201;77335
377647,8B,2,1,19473;45046;69431
377647,8B,2,2,24165;35033;51035;67069
377647,intact,3,1,17311;51176
377647,intact,3,2,23338;51890
377647,2B,1,1,30390;49989;59604;66915;69553
377647,2B,1,2,7095;9695;13990;16614;29861;34457;56697
377647,1B,1,1,7956;17945;34776;70748
377647,1B,1,2,14060;34488;39219;44385;67360;70458
377647,8B,1,1,11678;21344;44705;68877
377647,8B,1,2,22027;45169;68326
377647,2B,2,1,6666;30785;46107;50268;59508;74856
377647,2B,2,2,30195;46715;63849;75379
393320,8B,2,1,16521;24745;35599;41017;48292;50860;61590;67090;76959
393320,8B,2,2,14575;24577;28609;33669;54283;65367;75174
393320,intact,3,1,19298;35554;51252;59106;67358;78962
393320,intact,3,2,9975;19233;29301;35314;46818;51113;59226;67239;78812
393320,2B,1,1,5274;9709;14606;22210;28200;37171;46555;53827;57554;67679;74069
393320,2B,1,2,7128;14074;22227;28852;35776;42728;52489;60191;66109;74226
393320,2B,2,1,7332;13331;24925;39185;45469;62420;73199
393320,2B,2,2,6413;14081;29156;39200;45347;59609;65258;71079
393320,8B,1,1,13738;19047;28695;39040;54150;68262
393320,8B,1,2,9367;19132;27623;35256;45882;59325;68708
393320,1B,3,1,5458;9794;25652;31265;36450;46598;54714;57811;70541;76092;76163
393320,1B,3,2,5426;15308;22143;26163;35592;44236;47322;54633;61680;73256
393320,1B,1,1,4904;27328;40991;45117;61299;75476
393320,1B,1,2,6356;24242;35115;43766;52202;59553;70280
393320,2B,3,1,6183;9531;15201;20873;26168;44860;53045;59250;63426
393320,2B,3,2,6077;13085;20475;26378;34036;39453;53251;58926;63949
393320,intact,1,1,16366;34472;44206;61235;67257
393320,intact,1,2,14063;34969;43265;51001;66904
393320,intact,2,1,9475;18498;49176;66075
393320,intact,2,2,9125;13386;23968;49287;65150
393320,8B,3,1,14067;18049;49707;66388
393320,8B,3,2,16811;49552;61445
393320,1B,2,1,18840;45180;72923
393320,1B,2,2,18763;45520;71128
393277,2B,3,1,10636;21982;40127;50170;54601;64926
393277,2B,3,2,7573;14844;27560;52664
393277,intact,1,1,34843
393277,intact,1,2,19083;35431;49364;67395
393277,1B,3,1,4873;12983;20302;29578;54129;63307;79498
393277,1B,3,2,5680;16914;38593;49565;57881;70593
393277,8B,3,1,13194;17734;33039;48711;62410;74756
393277,8B,3,2,60856
393277,intact,2,1,15460;25355;46385;52659;65471
393277,intact,2,2,44585;51412
393277,1B,2,1,3446;11046;15874;17071;23576;29218;30835;38734;42628;46923;56595;69127;79007
393277,1B,2,2,22601;34178;51744;54894;57510;71835;72752
393277,intact,3,1,18386;35022;61552
393277,intact,3,2,15944;50928;64348
393277,2B,1,1,4850;12587;21071;28715;52277;61903;66057;70042
393277,2B,1,2,4760;13472;20603;28735;41127;57152;65119;69151;77140
393277,8B,2,1,17404;31977;33614;42326;51829;65132
393277,8B,2,2,17258;24974;33899;51997;66135;76998
393277,2B,2,1,7608;27043;39558;52142;65536;72198
393277,2B,2,2,9053;18716;29531;40812;48086;59620;65499;71352
393277,8B,1,1,20492;34769;49731;54141;70026
393277,8B,1,2,20120;34560;47098;69215
393277,1B,1,1,6810;16009;33565;39228;44917;75983
393277,1B,1,2,4111;15900;32877;43265;62216;79546
393267,1B,3,1,5910;17398;35150;46470;61550
393267,1B,3,2,18732;55228;63827;72884
393267,8B,1,1,19715;35410;54178;71410
