exp_subject_id,Task_Name,space_press1,space_press2
377696,1B_1,"""times=1645558538948;1645558544167;1645558553606;1645558569568;1645558577163;1645558585994;1645558596772;1645558604799;1645558615341---values=;5216;14655;30617;38212;47043;57821;65848;76390""","""times=1645558538948;1645558626976;1645558636967;1645558647233;1645558654334;1645558669313;1645558688837;1645558697926---values=;4529;14520;24786;31887;46866;66390;75479"""
377696,2B_3,"""times=1645558364573;1645558370538;1645558376080;1645558382221;1645558387720;1645558403557;1645558406616;1645558410301;1645558417047;1645558427195;1645558435178---values=;5962;11504;17644;23144;38981;42040;45725;52471;62619;70602""","""times=1645558364573;1645558455072;1645558465478;1645558470132;1645558475512;1645558488303;1645558494434;1645558505090;1645558512665;1645558522535---values=;5518;15924;20578;25958;38749;44880;55536;63111;72981"""
377696,8B_3,"""times=1645558123649;1645558136210;1645558142082;1645558163780;1645558174546;1645558186802;1645558196791---values=;12557;18429;40127;50893;63149;73138""","""times=1645558123649;1645558216837;1645558222417;1645558236925;1645558252876;1645558267570;1645558277711---values=;12629;18209;32717;48668;63362;73503"""
377696,intact_2,"""times=1645557952312;1645557973590;1645558002648---values=;21270;50328""","""times=1645557952312;1645558055700;1645558086761---values=;19899;50960"""
377696,1B_2,"""times=1645557779996;1645557826185---values=;46176""","""times=1645557779996;1645557907230;1645557913218---values=;43742;49730"""
377696,practice_task,"""times=1645557586895;1645557616725---values=17722;47552""","""times=1645557655862;1645557686043;1645557700459---values=17219;47399;61816"""
377694,2B_3,"""times=1645560154104;1645560163527;1645560176034;1645560190226;1645560207253;1645560217492---values=;9414;21921;36113;53140;63379""","""times=1645560154104;1645560248404;1645560253110;1645560285315---values=;9447;14153;46358"""
377694,intact_1,"""times=1645559979774;1645560015325;1645560032241;1645560047401---values=;35535;52451;67611""","""times=1645559979774;1645560088954;1645560096885;1645560113487;1645560129327---values=;27252;35183;51785;67625"""
377694,1B_3,"""times=1645559673499;1645559683171;1645559685722;1645559690816;1645559696900;1645559708793;1645559720745;1645559736491---values=;9663;12214;17308;23392;35285;47237;62983""","""times=1645559673499;1645559763760;1645559767788;1645559790579;1645559794183;1645559805740;1645559819325;1645559837953---values=;5375;9403;32194;35798;47355;60940;79568"""
377694,8B_3,"""times=1645559410465;1645559428323;1645559459531;1645559473704---values=;17849;49057;63230""","""times=1645559410465;1645559512141;1645559524067;1645559552771---values=;21219;33145;61849"""
377694,1B_2,"""times=1645559227333;1645559238058;1645559248961;1645559273022;1645559298331;1645559303293---values=;10715;21618;45679;70988;75950""","""times=1645559227333;1645559321918;1645559331891;1645559347313;1645559356388;1645559372671---values=;10532;20505;35927;45002;61285"""
377694,intact_2,"""times=1645559045454;1645559059547;1645559073229;1645559095392;1645559111590---values=;14091;27773;49935;66134""","""times=1645559045454;1645559139014;1645559156196;1645559178131;1645559195518---values=;10144;27326;49261;66647"""
377694,8B_2,"""times=1645558598988;1645558616092;1645558637238;1645558644266;1645558653885;1645558668850---values=;17099;38245;45273;54892;69857""","""times=1645558598988;1645558701887;1645558710303;1645558719737;1645558727594;1645558733825---values=;19467;27883;37317;45174;51405"""
